Categories, dia20
0,"8,92"
1,"8,604"
2,"9,706666666666665"
3,"7,2928571428571445"
4,"7,3149999999999995"
5,"6,991666666666667"
6,"10,935714285714285"
7,"7,822"
8,"8,316666666666666"
9,"8,404285714285715"
10,"11,931999999999999"
11,"8,838333333333333"
12,"8,848571428571429"
13,"10,95"
14,"9,816666666666665"
15,"8,012857142857143"
16,"9,081999999999999"
17,"8,343333333333332"
18,"7,92"
19,"8,942"
20,"9,764"
21,"11,594285714285716"
22,"8,495999999999999"
23,"10,456666666666665"
